number_participant,name,club,nik,gender,phone,address,target_Name,
151,Bagus Wiranata,"Sipas Sriwedari, Solo",32543363,Male,1234567812,"Sipas Sriwedari, Solo",Target K,
152,Hafidz Rizkiadi,Jemparingan Lareangon  Klaten ,32543364,Male,1234567890,Jemparingan Lareangon  Klaten ,Target K,
153,Adi Budi Prasetyo,Perpatri Sidoarjo,32543365,Male,9876543210,Perpatri Sidoarjo,Target K,
154,Suradi,Tangger Jemparingan,32543366,Male,5790321680,Tangger Jemparingan,Target K,
155,Catur Edi Yuwono,"Wedhi Ayu, Banyumas",32543367,Male,8123456789,"Wedhi Ayu, Banyumas",Target K,
156,Maryadi,Kawedanan Kaprajuritan 1 Karaton Yogyakarta,32543368,Male,8123456790,Kawedanan Kaprajuritan 1 Karaton Yogyakarta,Target K,
157,Yunus Motor,Gading Archery. Klaten,32543369,Male,1234567890,Gading Archery. Klaten,Target K,
158,Azmil,"Hanacara, Jogja",32543370,Male,9876543210,"Hanacara, Jogja",Target K,
159,Rokhim,"Krido Purihutomo, Klaten",32543371,Male,5790321680,"Krido Purihutomo, Klaten",Target K,
160,Aris Waluyo,Manunggal Jati Yogyakarta,32543372,Male,8123456789,Manunggal Jati Yogyakarta,Target K,
161,Slamet,"Kridho Senopati,  Klaten",32543373,Male,8123456790,"Kridho Senopati,  Klaten",Target K,
162,Rio,"Jatra, Jogja",32543374,Male,1234567890,"Jatra, Jogja",Target K,
163,Mulyana,"Rospring, Sukoharjo",32543375,Male,9876543210,"Rospring, Sukoharjo",Target K,
164,Dedy Kristanto,"Surogeni, Jogja",32543376,Male,5790321680,"Surogeni, Jogja",Target K,
165,Suyadi,Jemparingan Lareangon  Klaten ,32543377,Male,8123456789,Jemparingan Lareangon  Klaten ,Target L,
166,Soepyani,"As-Sadaad, Sragen",32543378,Male,8123456790,"As-Sadaad, Sragen",Target L,
167,Sri Widodo,Bodronoyo Jogja,32543379,Male,1234567890,Bodronoyo Jogja,Target L,
168,Abah Harry,Perpatri Sidoarjo,32543380,Male,9876543210,Perpatri Sidoarjo,Target L,
169,Masiah,Tangger Jemparingan,32543381,Male,5790321680,Tangger Jemparingan,Target L,
170,Kuswantoro,"Kridho Senopati,  Klaten",32543382,Male,8123456789,"Kridho Senopati,  Klaten",Target L,
171,Arifin,Pajero Klaten,32543383,Male,7606289988,Pajero Klaten,Target L,
172,Sutrisno,"Mangesti, Sleman",32543384,Male,7732105718,"Mangesti, Sleman",Target L,
173,Basuki,"Surya Bhirawa, Klaten",32543385,Male,7857921448,"Surya Bhirawa, Klaten",Target L,
174,Mulyana,"Krido Purihutomo, Klaten",32543386,Male,7983737178,"Krido Purihutomo, Klaten",Target L,
175,Darmawan,"Gajah Kemuning, Bantul",32543387,Male,8109552908,"Gajah Kemuning, Bantul",Target L,
176,Dwi Purnomo,"Wedhi Ayu, Banyumas",32543388,Male,8235368638,"Wedhi Ayu, Banyumas",Target L,
177,Muh Andi Setiawan,Kawedanan Kaprajuritan 1 Karaton Yogyakarta,32543389,Male,8361184368,Kawedanan Kaprajuritan 1 Karaton Yogyakarta,Target L,
178,Khalid Alwi,"Surogeni, Jogja",32543390,Male,8487000098,"Surogeni, Jogja",Target L,
179,Ismanto,Pajero Klaten,32543391,Male,8612815828,Pajero Klaten,Target M,
