number_participant,name,club,target_Name,nik,gender,phone,address,,
171,Bagus Wiranata,"Sipas Sriwedari, Solo",K,32543383,Male,81255025536,"Sipas Sriwedari, Solo",,
172,Hafidz Rizkiadi,Jemparingan Lareangon  Klaten ,K,32543384,Male,81255025537,Jemparingan Lareangon  Klaten ,,
173,Adi Budi Prasetyo,Perpatri Sidoarjo,K,32543385,Male,81255025538,Perpatri Sidoarjo,,
174,Suradi,Tangger Jemparingan,K,32543386,Male,81255025539,Tangger Jemparingan,,
175,Catur Edi Yuwono,"Wedhi Ayu, Banyumas",K,32543387,Male,81255025540,"Wedhi Ayu, Banyumas",,
176,Maryadi,Kawedanan Kaprajuritan 1 Karaton Yogyakarta,K,32543388,Male,81255025541,Kawedanan Kaprajuritan 1 Karaton Yogyakarta,,
177,Yunus Motor,Gading Archery. Klaten,K,32543389,Male,81255025542,Gading Archery. Klaten,,
178,Azmil,"Hanacara, Jogja",K,32543390,Male,81255025543,"Hanacara, Jogja",,
179,Rokhim,"Krido Purihutomo, Klaten",K,32543391,Male,81255025544,"Krido Purihutomo, Klaten",,
180,Aris Waluyo,Manunggal Jati Yogyakarta,K,32543392,Male,81255025545,Manunggal Jati Yogyakarta,,
181,Yoniyandra,Area 89,K,32543393,Male,81255025546,Area 89,,
182,Affan,"Hisbul Wathan, Sukoharjo",K,32543394,Male,81255025547,"Hisbul Wathan, Sukoharjo",,
183,Agil Susanto,"STB, Solo",K,32543395,Male,81255025548,"STB, Solo",,
184,Slamet,"Kridho Senopati,  Klaten",K,32543396,Male,81255025549,"Kridho Senopati,  Klaten",,
185,Rio,"Jatra, Jogja",K,32543397,Male,81255025550,"Jatra, Jogja",,
186,Mulyana,"Rospring, Sukoharjo",K,32543398,Male,81255025551,"Rospring, Sukoharjo",,
187,Dedy Kristanto,"Surogeni, Jogja",K,32543399,Male,81255025552,"Surogeni, Jogja",,
188,Suyadi,Jemparingan Lareangon  Klaten ,L,32543400,Male,81255025553,Jemparingan Lareangon  Klaten ,,
189,Soepyani,"As-Sadaad, Sragen",L,32543401,Male,81255025554,"As-Sadaad, Sragen",,
190,Sri Widodo,Bodronoyo Jogja,L,32543402,Male,81255025555,Bodronoyo Jogja,,
191,Abah Harry,Perpatri Sidoarjo,L,32543403,Male,81255025556,Perpatri Sidoarjo,,
192,Aron A,Area 89,L,32543404,Male,81255025557,Area 89,,
193,Indri Yulianto,"Hantu Maut, Yogyakarta",L,32543405,Male,81255025558,"Hantu Maut, Yogyakarta",,
194,Nana Nafiudin,"Baduy jamparingan,  Banten",L,32543406,Male,81255025559,"Baduy jamparingan,  Banten",,
195,Kuswantoro,"Kridho Senopati,  Klaten",L,32543407,Male,81255025560,"Kridho Senopati,  Klaten",,
196,Arifin,Pajero Klaten,L,32543408,Male,81255025561,Pajero Klaten,,
197,Sutrisno,"Mangesti, Sleman",L,32543409,Male,81255025562,"Mangesti, Sleman",,
198,Basuki,"Surya Bhirawa, Klaten",L,32543410,Male,81255025563,"Surya Bhirawa, Klaten",,
199,Mulyana,"Krido Purihutomo, Klaten",L,32543411,Male,81255025564,"Krido Purihutomo, Klaten",,
200,Darmawan,"Gajah Kemuning, Bantul",L,32543412,Male,81255025565,"Gajah Kemuning, Bantul",,
201,Dwi Purnomo,"Wedhi Ayu, Banyumas",L,32543413,Male,81255025566,"Wedhi Ayu, Banyumas",,
202,Muh Andi Setiawan,Kawedanan Kaprajuritan 1 Karaton Yogyakarta,L,32543414,Male,81255025567,Kawedanan Kaprajuritan 1 Karaton Yogyakarta,,
203,Khalid Alwi,"Surogeni, Jogja",L,32543415,Male,81255025568,"Surogeni, Jogja",,
204,Ismanto,Pajero Klaten,M,32543416,Male,81255025569,Pajero Klaten,,
205,Afid Riyadi,"Kridho Senopati,  Klaten",M,32543417,Male,81255025570,"Kridho Senopati,  Klaten",,
206,Ilham T,Area 89,M,32543418,Male,81255025571,Area 89,,
207,Moh. Riswanto,Jemparingan Cirebon,M,32543419,Male,81255025572,Jemparingan Cirebon,,
208,Sringatipan,"Krido Purihutomo, Klaten",M,32543420,Male,81255025573,"Krido Purihutomo, Klaten",,
209,Abah Joko,"Mangesti, Sleman",M,32543421,Male,81255025574,"Mangesti, Sleman",,
210,Bambang Yuwono,"Surya Bhirawa, Klaten",M,32543422,Male,81255025575,"Surya Bhirawa, Klaten",,
211,Andreas,"Krido Purihutomo, Klaten",M,32543423,Male,81255025576,"Krido Purihutomo, Klaten",,
212,Rendi Dimas S,Jemparingan Lareangon  Klaten ,M,32543424,Male,81255025577,Jemparingan Lareangon  Klaten ,,
213,Yanu Anggara,Perpatri Sidoarjo,M,32543425,Male,81255025578,Perpatri Sidoarjo,,
