number_participant,name,club,target_Name,nik,gender,phone,address
166,Bagus Wiranata,"Sipas Sriwedari, Solo",K,32543378,Male,9876543210,"Sipas Sriwedari, Solo"
167,Hafidz Rizkiadi,Jemparingan Lareangon  Klaten ,K,32543379,Male,9876543211,Jemparingan Lareangon  Klaten 
168,Adi Budi Prasetyo,Perpatri Sidoarjo,K,32543380,Male,9876543212,Perpatri Sidoarjo
169,Suradi,Tangger Jemparingan,K,32543381,Male,9876543213,Tangger Jemparingan
170,Catur Edi Yuwono,"Wedhi Ayu, Banyumas",K,32543382,Male,9876543214,"Wedhi Ayu, Banyumas"
171,Maryadi,Kawedanan Kaprajuritan 1 Karaton Yogyakarta,K,32543383,Male,9876543215,Kawedanan Kaprajuritan 1 Karaton Yogyakarta
172,Yunus Motor,Gading Archery. Klaten,K,32543384,Male,9876543216,Gading Archery. Klaten
173,Azmil,"Hanacara, Jogja",K,32543385,Male,9876543217,"Hanacara, Jogja"
174,Rokhim,"Krido Purihutomo, Klaten",K,32543386,Male,9876543218,"Krido Purihutomo, Klaten"
175,Aris Waluyo,Manunggal Jati Yogyakarta,K,32543387,Male,9876543219,Manunggal Jati Yogyakarta
176,Yoniyandra,Area 89,K,32543388,Male,9876543220,Area 89
177,Slamet,"Kridho Senopati,  Klaten",K,32543389,Male,9876543221,"Kridho Senopati,  Klaten"
178,Rio,"Jatra, Jogja",K,32543390,Male,9876543222,"Jatra, Jogja"
179,Mulyana,"Rospring, Sukoharjo",K,32543391,Male,9876543223,"Rospring, Sukoharjo"
180,Dedy Kristanto,"Surogeni, Jogja",K,32543392,Male,9876543224,"Surogeni, Jogja"
181,Suyadi,Jemparingan Lareangon  Klaten ,L,32543393,Male,9876543225,Jemparingan Lareangon  Klaten 
182,Soepyani,"As-Sadaad, Sragen",L,32543394,Male,9876543226,"As-Sadaad, Sragen"
183,Sri Widodo,Bodronoyo Jogja,L,32543395,Male,9876543227,Bodronoyo Jogja
184,Abah Harry,Perpatri Sidoarjo,L,32543396,Male,9876543228,Perpatri Sidoarjo
185,Aron A,Area 89,L,32543397,Male,9876543229,Area 89
186,Nana Nafiudin,"Baduy jamparingan,  Banten",L,32543398,Male,9876543230,"Baduy jamparingan,  Banten"
187,Kuswantoro,"Kridho Senopati,  Klaten",L,32543399,Male,9876543231,"Kridho Senopati,  Klaten"
188,Arifin,Pajero Klaten,L,32543400,Male,9876543232,Pajero Klaten
189,Sutrisno,"Mangesti, Sleman",L,32543401,Male,9876543233,"Mangesti, Sleman"
190,Basuki,"Surya Bhirawa, Klaten",L,32543402,Male,9876543234,"Surya Bhirawa, Klaten"
191,Mulyana,"Krido Purihutomo, Klaten",L,32543403,Male,9876543235,"Krido Purihutomo, Klaten"
192,Darmawan,"Gajah Kemuning, Bantul",L,32543404,Male,9876543236,"Gajah Kemuning, Bantul"
193,Dwi Purnomo,"Wedhi Ayu, Banyumas",L,32543405,Male,9876543237,"Wedhi Ayu, Banyumas"
194,Muh Andi Setiawan,Kawedanan Kaprajuritan 1 Karaton Yogyakarta,L,32543406,Male,9876543238,Kawedanan Kaprajuritan 1 Karaton Yogyakarta
195,Khalid Alwi,"Surogeni, Jogja",L,32543407,Male,9876543239,"Surogeni, Jogja"
196,Ismanto,Pajero Klaten,M,32543408,Male,9876543240,Pajero Klaten
197,Afid Riyadi,"Kridho Senopati,  Klaten",M,32543409,Male,9876543241,"Kridho Senopati,  Klaten"
198,Ilham T,Area 89,M,32543410,Male,9876543242,Area 89
199,Moh. Riswanto,Jemparingan Cirebon,M,32543411,Male,9876543243,Jemparingan Cirebon
200,Sringatipan,"Krido Purihutomo, Klaten",M,32543412,Male,9876543244,"Krido Purihutomo, Klaten"
201,Abah Joko,"Mangesti, Sleman",M,32543413,Male,9876543245,"Mangesti, Sleman"
202,Bambang Yuwono,"Surya Bhirawa, Klaten",M,32543414,Male,9876543246,"Surya Bhirawa, Klaten"
203,Andreas,"Krido Purihutomo, Klaten",M,32543415,Male,9876543247,"Krido Purihutomo, Klaten"
204,Rendi Dimas S,Jemparingan Lareangon  Klaten ,M,32543416,Male,9876543248,Jemparingan Lareangon  Klaten 
205,Yanu Anggara,Perpatri Sidoarjo,M,32543417,Male,9876543249,Perpatri Sidoarjo
206,Hendrik,Tangger Jemparingan,M,32543418,Male,9876543250,Tangger Jemparingan
207,PURNAWAN WIDODO,"Alap - Alap Slarong , Yogyakata",M,32543419,Male,9876543251,"Alap - Alap Slarong , Yogyakata"
208,Dimaz Arifin Hamsyah,Kawedanan Kaprajuritan 1 Karaton Yogyakarta,M,32543420,Male,9876543252,Kawedanan Kaprajuritan 1 Karaton Yogyakarta
209,Ghozali,Gading Archery. Klaten,M,32543421,Male,9876543253,Gading Archery. Klaten
210,Rizki Noviardana,"Alap - Alap Slarong , Yogyakata",M,32543422,Male,9876543254,"Alap - Alap Slarong , Yogyakata"
211,Sugeng,"Kridho Senopati,  Klaten",N,32543423,Male,9876543255,"Kridho Senopati,  Klaten"
212,Muhammad Kennard Pasya,Jemparingan Cirebon,N,32543424,Male,9876543256,Jemparingan Cirebon
213,Arya,"Surya Bhirawa, Klaten",N,32543425,Male,9876543257,"Surya Bhirawa, Klaten"
214,Dwi P,Area 89,N,32543426,Male,9876543258,Area 89
215,Yakub,Pajero Klaten,N,32543427,Male,9876543259,Pajero Klaten
216,Imam Yuda Permana,"Mangesti, Sleman",N,32543428,Male,9876543260,"Mangesti, Sleman"
217,M.Akbar,"Krido Purihutomo, Klaten",N,32543429,Male,9876543261,"Krido Purihutomo, Klaten"
218,Muawan Abd Qoyum,"Sipas Sriwedari, Solo",N,32543430,Male,9876543262,"Sipas Sriwedari, Solo"
219,Murdoko,Kawedanan Kaprajuritan 2 Karaton Yogyakarta,N,32543431,Male,9876543263,Kawedanan Kaprajuritan 2 Karaton Yogyakarta
220,Slamet,"Rospring, Sukoharjo",N,32543432,Male,9876543264,"Rospring, Sukoharjo"
221,Dhanang,"Giri Mandala ,  Wonogiri",N,32543433,Male,9876543265,"Giri Mandala ,  Wonogiri"
222,Reksa  Darma P,"L P G, Surabaya",N,32543434,Male,9876543266,"L P G, Surabaya"
223,AGUS PRIMAJATI,"Alap - Alap Slarong , Yogyakata",N,32543435,Male,9876543267,"Alap - Alap Slarong , Yogyakata"
224,Okky Caesaryanto,Kawedanan Kaprajuritan 2 Karaton Yogyakarta,N,32543436,Male,9876543268,Kawedanan Kaprajuritan 2 Karaton Yogyakarta
225,Nanang Rasmawan,Bca Surabaya,N,32543437,Male,9876543269,Bca Surabaya
226,Agung Surjan,"Hanacara, Jogja",O,32543438,Male,9876543270,"Hanacara, Jogja"
227,ARIF,"GENDEWO MAS, BANYUMAS",O,32543439,Male,9876543271,"GENDEWO MAS, BANYUMAS"
228,Thoyib,Area 89,O,32543440,Male,9876543272,Area 89
229,Yajid,"Rospring, Sukoharjo",O,32543441,Male,9876543273,"Rospring, Sukoharjo"
230,Setyawan Joni Efendi,Kawedanan Kaprajuritan 2 Karaton Yogyakarta,O,32543442,Male,9876543274,Kawedanan Kaprajuritan 2 Karaton Yogyakarta
231,Annas,"Surya Bhirawa, Klaten",O,32543443,Male,9876543275,"Surya Bhirawa, Klaten"
232,Supriyanto,"Loh Jinawi, Jogja ",O,32543444,Male,9876543276,"Loh Jinawi, Jogja "
233,Purwo Supriyanto,"Mangesti, Sleman",O,32543445,Male,9876543277,"Mangesti, Sleman"
234,Muhammad Rasyiddin,Kawedanan Kaprajuritan 2 Karaton Yogyakarta,O,32543446,Male,9876543278,Kawedanan Kaprajuritan 2 Karaton Yogyakarta
235,Suhartoyo,Jemparingan Cirebon,O,32543447,Male,9876543279,Jemparingan Cirebon
236,Mukhammad Dafid,"L P G, Surabaya",O,32543448,Male,9876543280,"L P G, Surabaya"
237,Joko purwono,"sastro anggoro, jogja",O,32543449,Male,9876543281,"sastro anggoro, jogja"
238,Satrio Ariwibowo,"Alap - Alap Slarong , Yogyakata",O,32543450,Male,9876543282,"Alap - Alap Slarong , Yogyakata"
239,Topik,"Jaluwasi,  Jogja",O,32543451,Male,9876543283,"Jaluwasi,  Jogja"
240,Yuli,Pashupatastra Magetan,O,32543452,Male,9876543284,Pashupatastra Magetan
241,Joko S,"Giri Mandala ,  Wonogiri",P,32543453,Male,9876543285,"Giri Mandala ,  Wonogiri"
242,Abdullah Aqiel Abiyyi,"L P G, Surabaya",P,32543454,Male,9876543286,"L P G, Surabaya"
243,Arief Nur Widiyanto,"Siliran, Yogyakarta",P,32543455,Male,9876543287,"Siliran, Yogyakarta"
